"Airport/Carrier","Max/Min Devs"
"AS-RNO",97
"AS-RNO",-33
"AS-SAN",137
"AS-SAN",-40
"AS-SCC",51
"AS-SCC",-21
"AS-SEA",205
"AS-SEA",-84
"AS-SFO",135
"AS-SFO",-44
"AS-SIT",105
"AS-SIT",-90
"AS-SJC",168
"AS-SJC",-35
"AS-SMF",1436
"AS-SMF",-25
"AS-SNA",159
"AS-SNA",-60
"AS-TUS",91
"AS-TUS",-40
"AS-WRG",65
"AS-WRG",-17
"AS-YAK",63
"AS-YAK",-16
"B6-ACK",120
"B6-ACK",-47
"B6-ATL",191
"B6-ATL",-55
"B6-AUS",338
"B6-AUS",-47
"B6-BNA",496
"B6-BNA",-28
"B6-BOS",1462
"B6-BOS",-81
"B6-BQN",111
"B6-BQN",-85
"B6-BTV",1465
"B6-BTV",-42
"B6-BUF",1478
"B6-BUF",-64
"B6-BUR",1451
"B6-BUR",-61
"B6-CLT",1457
"B6-CLT",-37
"B6-CMH",161
"B6-CMH",-91
"B6-DEN",1481
"B6-DEN",-41
"B6-EWR",1478
"B6-EWR",-51
"B6-FLL",1602
"B6-FLL",-93
"B6-HOU",417
"B6-HOU",-61
"B6-HPN",191
"B6-HPN",-37
"B6-IAD",1432
"B6-IAD",-58
"B6-JAX",216
"B6-JAX",-43
"B6-JFK",1585
"B6-JFK",-122
"B6-LAS",1450
"B6-LAS",-73
"B6-LAX",-6
"B6-LAX",-13
"B6-LGA",1445
"B6-LGA",-85
"B6-LGB",1465
"B6-LGB",-75
"B6-MCO",1554
"B6-MCO",-74
"B6-MSY",205
"B6-MSY",-60
"B6-OAK",400
"B6-OAK",-60
"B6-ONT",1471
"B6-ONT",-89
"B6-ORD",219
"B6-ORD",-59
"B6-PBI",1441
"B6-PBI",-66
"B6-PDX",1476
"B6-PDX",-43
"B6-PHX",1503
"B6-PHX",-57
"B6-PIT",209
"B6-PIT",-31
"B6-PSE",67
"B6-PSE",-38
"B6-PWM",197
"B6-PWM",-44
"B6-RDU",205
"B6-RDU",-39
"B6-RIC",299
"B6-RIC",-43
"B6-ROC",1471
"B6-ROC",-34
"B6-RSW",1478
"B6-RSW",-63
"B6-SAN",216
"B6-SAN",-61
"B6-SEA",1455
"B6-SEA",-44
"B6-SFO",148
"B6-SFO",-52
"B6-SJC",1465
